symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
KVUE,KVUE,Kenvue,Consumer Staples,Personal Care Products,US,SPY,XLP
L,L,Loews Corporation,Financials,Multi-line Insurance,US,SPY,XLF
LDOS,LDOS,Leidos,Industrials,Diversified Support Services,US,SPY,XLI
LEN,LEN,Lennar,Consumer Discretionary,Homebuilding,US,SPY,XLY
LH,LH,Labcorp,Health Care,Health Care Services,US,SPY,XLV
LHX,LHX,L3Harris,Industrials,Aerospace & Defense,US,SPY,XLI
LII,LII,Lennox International,Industrials,Building Products,US,SPY,XLI
LIN,LIN,Linde plc,Materials,Industrial Gases,US,SPY,XLB
LITE,LITE,Lumentum,Information Technology,Communications Equipment,US,SPY,XLK
LLY,LLY,Lilly (Eli),Health Care,Pharmaceuticals,US,SPY,XLV
LMT,LMT,Lockheed Martin,Industrials,Aerospace & Defense,US,SPY,XLI
LNT,LNT,Alliant Energy,Utilities,Electric Utilities,US,SPY,XLU
LOW,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,US,SPY,XLY
LRCX,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,US,SPY,XLK
LULU,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US,SPY,XLY
LUV,LUV,Southwest Airlines,Industrials,Passenger Airlines,US,SPY,XLI
LVS,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,US,SPY,XLY
LYB,LYB,LyondellBasell,Materials,Specialty Chemicals,US,SPY,XLB
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,US,SPY,XLC
MA,MA,Mastercard,Financials,Transaction & Payment Processing Services,US,SPY,XLF
MAA,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
MAR,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
MAS,MAS,Masco,Industrials,Building Products,US,SPY,XLI
MCD,MCD,McDonald's,Consumer Discretionary,Restaurants,US,SPY,XLY
MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors,US,SPY,XLK
MCK,MCK,McKesson Corporation,Health Care,Health Care Distributors,US,SPY,XLV
MCO,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,US,SPY,XLF
MDLZ,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
MDT,MDT,Medtronic,Health Care,Health Care Equipment,US,SPY,XLV
MET,MET,MetLife,Financials,Life & Health Insurance,US,SPY,XLF
META,META,Meta Platforms,Communication Services,Interactive Media & Services,US,SPY,XLC
MGM,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,US,SPY,XLY
MKC,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
MLM,MLM,Martin Marietta Materials,Materials,Construction Materials,US,SPY,XLB
MMM,MMM,3M,Industrials,Industrial Conglomerates,US,SPY,XLI
MNST,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,US,SPY,XLP
MO,MO,Altria,Consumer Staples,Tobacco,US,SPY,XLP
MOS,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,US,SPY,XLB
MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,US,SPY,XLE
MPWR,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,US,SPY,XLK
MRK,MRK,Merck & Co.,Health Care,Pharmaceuticals,US,SPY,XLV
MRNA,MRNA,Moderna,Health Care,Biotechnology,US,SPY,XLV
MRSH,MRSH,Marsh McLennan,Financials,Insurance Brokers,US,SPY,XLF
MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,US,SPY,XLF
MSCI,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,US,SPY,XLF
MSFT,MSFT,Microsoft,Information Technology,Systems Software,US,SPY,XLK
MSI,MSI,Motorola Solutions,Information Technology,Communications Equipment,US,SPY,XLK
MTB,MTB,M&T Bank,Financials,Regional Banks,US,SPY,XLF
MTD,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,US,SPY,XLV
MU,MU,Micron Technology,Information Technology,Semiconductors,US,SPY,XLK
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,US,SPY,XLF
NDSN,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
NEE,NEE,NextEra Energy,Utilities,Multi-Utilities,US,SPY,XLU
NEM,NEM,Newmont,Materials,Gold,US,SPY,XLB
